VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,rate_code_name,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,payment_type_name,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-10T08:21:52,2016-03-10T08:22:22,1,0,Standard rate,40.76490021,-73.93743896,40.76490402,-73.93717957,Credit card,0,0,0,0,0,0,0
2,2016-03-10T10:51:05,2016-03-10T10:51:13,1,0,Standard rate,40.76463699,-73.93688202,0,0,Credit card,0,0,0,0,0,0,0
2,2016-03-10T07:37:32,2016-03-10T07:37:40,6,0,Standard rate,0,0,40.76398849,-73.90207672,Cash,0,0,0,0,0,0,0
2,2016-03-10T07:53:17,2016-03-10T07:54:59,1,0,Standard rate,40.7640419,-73.9019928,40.76389313,-73.90200806,Cash,0,0,0,0,0,0,0
2,2016-03-10T07:43:54,2016-03-10T07:45:52,1,0,Standard rate,40.76396942,-73.90189362,40.76396942,-73.90189362,Cash,0,0,0,0,0,0,0
2,2016-03-01T01:07:43,2016-03-01T01:08:43,1,0,Standard rate,0,0,40.76457977,-73.93695831,Credit card,0,0,0,0,0,0,0
2,2016-03-10T08:38:27,2016-03-10T08:40:37,1,0,Standard rate,40.76440811,-73.93713379,40.76464081,-73.93695068,Cash,0,0,0,0,0,0,0
2,2016-03-10T07:08:26,2016-03-10T07:08:29,5,0,Standard rate,40.76406479,-73.90210724,40.76412201,-73.90209198,Cash,0,0,0,0,0,0,0
2,2016-03-10T07:14:39,2016-03-10T07:16:42,1,0,Standard rate,40.76393127,-73.90196228,40.7639389,-73.90196991,Cash,0,0,0,0,0,0,0
2,2016-03-10T07:22:27,2016-03-10T07:23:51,1,0,Standard rate,40.76393127,-73.90193176,40.76392365,-73.90194702,Cash,0,0,0,0,0,0,0
2,2016-03-10T09:24:14,2016-03-10T09:26:18,1,0,Standard rate,0,0,0,0,Credit card,0,0,0,0,0,0,0
2,2016-03-10T07:38:58,2016-03-10T07:42:03,1,0,Standard rate,40.76398087,-73.90187073,40.76396179,-73.90190887,Cash,0,0,0,0,0,0,0
2,2016-03-01T06:14:25,2016-03-01T06:14:25,1,0,Standard rate,40.76460648,-73.93670654,40.76460266,-73.93669128,Credit card,0,0,0,0,0,0,0
2,2016-03-10T12:41:27,2016-03-10T12:43:03,1,0,Standard rate,40.76467133,-73.93682098,40.76467133,-73.93679047,Cash,0,0,0,0,0,0,0
2,2016-03-10T13:07:29,2016-03-10T13:10:11,1,0,Standard rate,40.76375961,-73.90209198,40.7637291,-73.90209961,Cash,0,0,0,0,0,0,0
2,2016-03-10T08:21:27,2016-03-10T08:22:46,1,0,Standard rate,40.76393127,-73.90195465,40.76391602,-73.90197754,Cash,0,0,0,0,0,0,0
2,2016-03-10T09:08:48,2016-03-10T10:19:27,1,14.99,Standard rate,40.79399109,-73.97206116,40.66368866,-73.95555115,Cash,0,0,0.5,0,0,0.3,0
2,2016-03-01T06:13:03,2016-03-01T06:13:05,1,0,Standard rate,0,0,40.7648201,-73.93695068,Credit card,0,0,0,0,0,0,0
2,2016-03-10T07:49:01,2016-03-10T07:50:18,1,0,Standard rate,40.76401901,-73.90203857,40.76383972,-73.90209198,Cash,0,0,0,0,0,0,0
2,2016-03-01T06:11:58,2016-03-01T06:11:58,1,0,Standard rate,0,0,40.76477814,-73.93695068,Credit card,0,0,0,0,0,0,0
2,2016-03-10T14:03:59,2016-03-10T14:04:02,1,0,JFK,0,0,0,0,Cash,0,0,0.5,0,0,0.3,0
2,2016-03-10T09:16:50,2016-03-10T09:19:52,1,0,Standard rate,40.76455688,-73.93694305,40.76424789,-73.93701935,Credit card,0,0,0,0,0,0,0
2,2016-03-10T08:01:22,2016-03-10T08:02:51,5,0,Standard rate,40.76414871,-73.9019928,40.76414871,-73.90200806,Cash,0,0,0,0,0,0,0
2,2016-03-10T07:31:14,2016-03-10T07:34:20,1,0,Standard rate,40.76395035,-73.90189362,40.76391983,-73.90207672,Cash,0,0,0,0,0,0,0
